id,movieName,movieImage,movieLink,create_at,updated_at,mostViewed
00c8914c-6a2a-4c91-977a-a5845a0a4706,إشاعة القرش,https://i.imgur.com/36bRUMM.jpeg,"https://zidwish.site/e/3kus9ssfapu0 ",2024-09-01 12:08:27.683383+00,2024-09-01 12:08:27.683383+00,false
00cbe2da-5030-4fd1-b9bb-f76954e23525,صيف ميكي ماوس العجيب,https://i.imgur.com/RVKiwK2.jpeg,"https://zidwish.site/e/hy36hicjp96j ",2024-08-31 17:10:50.71134+00,2024-08-31 17:10:50.71134+00,true
00d32aeb-648e-46b2-93b8-2da7ccb6a411,ملكة الثلج الجزء 2,https://i.imgur.com/B15SdTp.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/frozen_s2.mp4,2024-08-22 00:23:13.813753+00,2024-08-22 00:23:13.813753+00,true
00d40f04-bcad-4dca-bf73-3fdfb4c5f960,ايلينا من آفالور,https://i.imgur.com/SB4tq6i.png,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/elena_avalor.mp4,2024-08-22 00:02:23.022685+00,2024-08-22 00:02:23.022685+00,false
00d5f90d-0590-44ac-b1a5-eea0d77d5d7e,أنا الحقير 3 2017,https://i.imgur.com/ZvmgjK5.jpeg,https://zidwish.site/e/fb5yrhb7pi60,2024-09-01 11:38:50.089479+00,2024-09-01 11:38:50.089479+00,true
00d96e4d-88d2-4433-a8aa-a00ea8600b34,فيلم زوتوبيا,https://i.imgur.com/DB7l1Jz.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/zootopia.mp4,2024-08-21 20:14:47.788419+00,2024-08-21 20:14:47.788419+00,true
00dcd156-1ee5-4bf1-8dc4-9775bda4de73,أنا الحقير 2010,https://i.imgur.com/g1wxg9o.jpeg,https://zidwish.site/e/3k3okr3adl7o,2024-09-01 11:40:23.424857+00,2024-09-01 11:40:23.424857+00,true
00dd7c3f-1334-4cf1-bfea-b6dd22ae858d,شهد في مهمة خاصة,https://i.imgur.com/uvIrVlV.jpeg,https://zidwish.site/e/5cj6pbgvptrg,2024-08-31 15:02:04.201002+00,2024-08-31 15:02:04.201002+00,false
00de3457-9b5e-4f66-a8a8-9dba40b2e2da,بابار,https://i.imgur.com/U5S5HgT.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/babar.mp4,2024-08-22 00:03:18.378915+00,2024-08-22 00:03:18.378915+00,true
00de8740-9ffa-4ac5-b360-af42844b9865,مولان 2 2004,https://i.imgur.com/rrbTDtF.jpeg,"https://zidwish.site/e/ufb5wixxzvsc ",2024-09-01 10:49:57.131497+00,2024-09-01 10:49:57.131497+00,true
