id,seriesName,seriesImage,created_at,updated_at,planetName,mostViewed,old_cartoon
97460aa5-ae7b-45c0-ace9-d9af4933d388,فتاة المراعي,https://i.imgur.com/tr5Fz6Y.png,2024-08-21 09:14:05.228971+00,2024-08-21 09:14:05.228971+00,زمردة,true,false
97792a3c-c3ca-4d51-a27b-25cc7dd2989d,عالم غامبول المدهش,https://i.imgur.com/kw77PFh.png,2024-09-14 08:26:07.163087+00,2024-09-14 08:26:07.163087+00,الصيصان,false,false
97c76eb1-4909-4706-a327-9b3ca0c02e39,سلة الفواكة الجزء 3,https://i.imgur.com/WrRQH3H.jpeg,2024-08-23 09:06:47.901906+00,2024-08-23 09:06:47.901906+00,مغامرات,true,false
97def2d0-79d6-4e35-8beb-4e53e6123a55,مغامرات تويتي وسلفستر,https://i.imgur.com/2dmLFOj.jpeg,2024-09-09 11:05:45.350357+00,2024-09-09 11:05:45.350357+00,مغامرات,true,false
98b208fe-db43-4790-8317-ca9186a34281,جورج رجل الغاب,https://i.imgur.com/lqL8Uk2.jpeg,2024-09-04 14:45:21.459757+00,2024-09-04 14:45:21.459757+00,الصيصان,false,false
98c4f747-52b3-4d4c-9412-e995a7eb3742,سيمسالا,https://i.imgur.com/49illgs.jpeg,2024-09-04 11:36:16.211086+00,2024-09-04 11:36:16.211086+00,مغامرات,false,false
98fce8ae-d420-403e-97c3-5ee22b628dbc,سلة الفواكة الجزء 1,https://i.imgur.com/HwoRVNS.jpeg,2024-09-15 20:18:12.988308+00,2024-09-15 20:18:12.988308+00,زمردة,false,false
99173629-c93d-4137-b0ab-c5bb3183eb7a,كركر وعبقر,https://i.imgur.com/5BwrLUM.jpeg,2024-09-02 07:28:33.002348+00,2024-09-02 07:28:33.002348+00,مغامرات,false,false
99204512-7335-4a81-922c-9125cc169a95,روكي راكات,https://i.imgur.com/znpFn3v.png,2024-09-05 09:05:40.0985+00,2024-09-05 09:05:40.0985+00,زمردة,true,false
99835794-9d98-4bf9-9ee8-2b385123b966,مارتن مستري الجزء 3,https://i.imgur.com/g5sUeii.jpeg,2024-09-14 08:08:43.005158+00,2024-09-14 08:08:43.005158+00,الصيصان,false,false
9b1e4ffd-cc55-409e-9e22-46dd4a410631,سلام دانك 1,https://i.imgur.com/FTdStPg.jpeg,2024-08-19 10:29:07.574686+00,2024-08-19 10:29:07.574686+00,رياضة,true,false
9bb1c415-a449-4041-9684-5ddabad05733,مغامرات باسل,https://i.imgur.com/hETPxDq.jpeg,2024-08-20 00:00:31.540553+00,2024-08-20 00:00:31.540553+00,أكشن,false,false
9be09711-dff3-4c54-b465-6bffb6116704,أبناء الوطن,https://i.imgur.com/zIGSGP0.png,2024-09-10 21:32:27.967799+00,2024-09-10 21:32:27.967799+00,مغامرات,false,false
9cc57d1c-9236-4292-b565-d349d7eaef2a,دراغون بول سوبر,https://i.imgur.com/YPgPR6v.png,2024-08-20 14:20:09.118115+00,2024-08-20 14:20:09.118115+00,أكشن,true,false
9d0f27a7-6350-4dcd-a33e-6898b257292a,المحقق كونان الموسم 1,https://i.imgur.com/HZ3t2sQ.jpeg,2024-09-16 18:41:52.251728+00,2024-09-16 18:41:52.251728+00,مغامرات,false,false
9d2f3177-2a23-4510-be20-9f031c3aee7d,تاما والأصدقاء,https://i.imgur.com/WvLd9Ml.png,2024-08-19 15:13:44.364313+00,2024-08-19 15:13:44.364313+00,الصيصان,false,false
9d8bf0ef-98b9-4003-95aa-53572b61f265,مخلص صديق الحيوان,https://i.imgur.com/QbCUeiL.png,2024-09-16 12:16:20.83092+00,2024-09-16 12:16:20.83092+00,مغامرات,false,false
9e00f3ff-f5c7-4743-a867-cea95333ef40,سلاحف النينجا الجزء 3,https://i.imgur.com/toqmpn1.jpeg,2024-09-14 08:42:19.667144+00,2024-09-14 08:42:19.667144+00,الصيصان,false,false
9e140aa9-ac87-4372-bfe1-184102a85bca,منزل لاود الجزء 4,https://i.imgur.com/VAydWWp.jpeg,2024-08-25 07:37:21.57778+00,2024-08-25 07:37:21.57778+00,الصيصان,false,false
9ebfe886-9cbb-42ea-b031-24f28b6f6f57,ناروتو الجزء 5,https://i.imgur.com/gGyi7Xq.jpeg,2024-08-20 18:30:37.053211+00,2024-08-20 18:30:37.053211+00,أكشن,true,false
9ed18240-4631-4d72-b64e-34841acc58c8,هالو كيتي,https://i.imgur.com/qyzza1Z.png,2024-08-26 13:01:31.139599+00,2024-08-26 13:01:31.139599+00,الصيصان,false,false
9ed74113-5f5e-4b30-9e04-d0afa925673d,بينكي وبرين الجزء 1,https://i.imgur.com/CTiKQU2.png,2024-09-04 18:36:42.072735+00,2024-09-04 18:36:42.072735+00,مغامرات,true,false
9f269a0b-d3ed-4d67-b0be-ccc6ab5f0612,فريق الأشرار,https://i.imgur.com/2KnStNV.jpeg,2024-09-05 10:35:47.818267+00,2024-09-05 10:35:47.818267+00,الصيصان,false,false
9f732ba5-72aa-4841-8623-df0c7c2742e3,زهرة الجبل,https://i.imgur.com/B9lpNvv.jpeg,2024-08-27 04:37:07.213282+00,2024-08-27 04:37:07.213282+00,زمردة,true,false
